"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EIF3I",4.35623932611377e-05,0.180838410435289,0.491,0.449,0.799239229162094
"ABCG1",4.37898788504314e-05,-0.199099885122481,0.256,0.298,0.803412907268865
"CEP57",4.38184247053765e-05,0.277568434974372,0.299,0.262,0.803936638069543
"MRPL54",4.64998015574768e-05,-0.348197914707302,0.222,0.254,0.853131859175026
"HNRNPAB",5.0960471553918e-05,-0.265338024061111,0.283,0.321,0.934971771599733
"PREB",5.17070881519771e-05,-0.277148179205228,0.219,0.255,0.948669946324323
"SMG1",5.23082377785617e-05,-0.269070721967186,0.283,0.322,0.959699238523272
"AUP1",5.35552056360255e-05,0.138000778090736,0.57,0.519,0.98257735780416
"CANX",5.44148327542164e-05,-0.193744516545186,0.446,0.483,0.998348936541609
"GOLGA4",5.68077381559373e-05,-0.330633112679377,0.289,0.324,1
"ATXN1",5.78479342881739e-05,-0.373471731052109,0.243,0.278,1
"PDCD10",6.10482957183129e-05,-0.253000436956218,0.313,0.346,1
"RAP1B",6.15298188637031e-05,-0.144661528723959,0.558,0.598,1
"EMC6",6.23477284107822e-05,0.224670146344314,0.319,0.277,1
"KCTD20",6.25447478000355e-05,0.209803577543232,0.273,0.234,1
"RABAC1",6.41843313182561e-05,-0.151791043775202,0.658,0.666,1
"BCAS2",6.64646549727597e-05,-0.243456063398543,0.308,0.344,1
"SCAND1",6.67907968447073e-05,0.131168716220691,0.41,0.362,1
"NAP1L1",6.68395499336901e-05,0.100832811508063,0.507,0.469,1
"RNF181",6.6950869603894e-05,-0.195383991856771,0.4,0.438,1
"RB1CC1",6.7393761538636e-05,-0.344178693661994,0.239,0.274,1
"RTF1",6.74132383662869e-05,-0.271656943149337,0.324,0.358,1
"SARS",7.01618735631489e-05,-0.242141638841401,0.381,0.413,1
"EMC10",7.08741697303418e-05,0.271402404634728,0.291,0.257,1
"DIAPH1",7.20686570741499e-05,0.265986249536336,0.298,0.26,1
"CAND1",7.25748117782592e-05,-0.339128905383512,0.217,0.251,1
"ZNF207",7.43056387525038e-05,-0.229365796508455,0.442,0.477,1
"REXO2",7.74915339684075e-05,-0.288115943754673,0.368,0.4,1
"PAFAH1B1",7.89806221276308e-05,-0.272285312700493,0.355,0.385,1
"UQCRB",8.02392344302946e-05,-0.104857280129982,0.839,0.848,1
"UBR4",8.13736241267609e-05,0.177719673478853,0.271,0.235,1
"SNX6",8.56941418474146e-05,0.190666203358947,0.401,0.361,1
"DDX3Y",8.79370851361957e-05,-0.287232023551795,0.343,0.378,1
"RNF5",8.88470829823668e-05,-0.264216640595582,0.283,0.315,1
"BAZ1B",8.99586600084145e-05,-0.330076720256977,0.245,0.277,1
"MLEC",9.05703381248729e-05,-0.301950022738195,0.277,0.311,1
"RNF167",9.17503887596238e-05,-0.277604819126056,0.308,0.34,1
"PHF5A",9.17844180622799e-05,-0.270003131376098,0.326,0.357,1
"PPIG",9.36740881908407e-05,-0.233822853391231,0.408,0.443,1
"TMEM208",9.47002646256203e-05,0.182727008306385,0.334,0.296,1
"C4orf3",9.63407779801917e-05,-0.197504867179181,0.445,0.473,1
"OTUB1",9.67104876129035e-05,0.134077073551265,0.494,0.452,1
"USP36",0.000100912176953615,0.193966087363994,0.379,0.342,1
"SVIP",0.000101428719078253,-0.302687410375126,0.242,0.275,1
"MIA3",0.000101855091986428,-0.316955083920466,0.234,0.27,1
"CSTB",0.000103656866524852,0.161586930790347,0.628,0.593,1
"SPCS3",0.000104715874258281,-0.250287783362567,0.279,0.313,1
"PSMD7",0.000105154401613323,0.169355557649256,0.403,0.357,1
"SDHB",0.000109152052126485,-0.284960525036407,0.262,0.294,1
"TSTA3",0.000110050914295847,0.155839270728588,0.264,0.226,1
"EIF2S3",0.000110457813049808,0.175229599006492,0.279,0.241,1
"SYNCRIP",0.000111718571179952,-0.35193424362075,0.255,0.287,1
"PSMA5",0.000115559935760306,-0.186112501107011,0.519,0.542,1
"GOLPH3",0.00011755083079667,-0.246598049258691,0.352,0.383,1
"CISD2",0.000125848244671485,-0.249054746677495,0.288,0.322,1
"FKBP1A",0.000126984571737418,0.149261467068136,0.576,0.56,1
"TIMM17A",0.000139875968575681,-0.279838310422158,0.238,0.27,1
"STK38",0.000148007947042607,0.18760579543118,0.34,0.302,1
"PSMC6",0.000149516363847324,-0.280023579701426,0.282,0.316,1
"ZPR1",0.000153737163827148,-0.314110388763656,0.219,0.251,1
"STK10",0.000159531442807574,-0.3463975129777,0.232,0.265,1
"SSBP1",0.000160119924185717,-0.211924563400378,0.426,0.458,1
"TMEM248",0.000170742297407198,-0.190722974179331,0.344,0.378,1
"SHFM1",0.00017350695539748,-0.165898779554947,0.501,0.537,1
"TCF25",0.000182766280031484,-0.228786001341327,0.487,0.512,1
"PSME1",0.000183118915156276,-0.121676537182738,0.743,0.749,1
"TMEM70",0.000195942838409736,-0.334382605204745,0.232,0.261,1
"ERGIC3",0.000195980631685893,0.165375788145465,0.362,0.323,1
"C6orf48",0.000196430354698188,0.194664624602471,0.293,0.257,1
"POLR2C",0.000204556200390204,-0.254574750543272,0.285,0.317,1
"SF3A1",0.000211456795869079,-0.21703877246213,0.39,0.42,1
"CDIPT",0.000213181877617157,-0.243028109623298,0.269,0.301,1
"BTG2",0.000231591418768154,0.296849956631387,0.319,0.286,1
"POLR1D",0.000237087707329596,0.136733183037255,0.438,0.398,1
"OSBPL8",0.000242813129987122,0.128226003390782,0.335,0.295,1
"PPP6C",0.000244195589037805,-0.242454896761526,0.338,0.368,1
"ASH1L",0.000245734055417593,-0.39638170344896,0.262,0.288,1
"ABT1",0.000248817606053067,-0.274342621163934,0.279,0.31,1
"SMIM12",0.000249248055478005,0.173386283674497,0.349,0.314,1
"TNIP1",0.000251015768751364,0.139669052275877,0.458,0.418,1
"PRR13",0.000252213788660232,0.113805450068941,0.677,0.635,1
"PNN",0.00025600113795331,-0.311711321541967,0.294,0.323,1
"FAM49B",0.000257607737526714,-0.223419899973504,0.346,0.377,1
"IMPDH2",0.00025996131936871,0.228308588321856,0.358,0.324,1
"NR4A2",0.000267856096895211,-0.2859902210235,0.248,0.283,1
"COX8A",0.000288165351143043,0.139173736603287,0.561,0.53,1
"EIF4H",0.000289995120900658,-0.200077908022804,0.407,0.438,1
"HSBP1",0.000307412522171606,-0.231063870623474,0.295,0.327,1
"SYF2",0.000309796331703262,-0.216976806245285,0.471,0.496,1
"RBMX",0.000329749747937022,-0.23897692455948,0.408,0.436,1
"TMEM109",0.000330097598628483,-0.20031464639805,0.258,0.292,1
"ARL8B",0.000340090319082832,-0.306446967843125,0.275,0.303,1
"EMC3",0.00034534017823371,-0.248454604666059,0.327,0.357,1
"SAP30BP",0.000351453886226959,0.183856466859061,0.318,0.285,1
"PUF60",0.000353874179321006,-0.214835280289861,0.392,0.417,1
"VPS35",0.000358532069258724,0.171009585718467,0.262,0.227,1
"SUPT5H",0.000365823142973328,-0.255078005222234,0.395,0.423,1
"KRAS",0.000366366418195849,0.195888662951273,0.384,0.349,1
"HNRNPH3",0.00037060317312968,-0.176967101385663,0.433,0.468,1
"NDUFS3",0.000370692475131413,-0.26546622530651,0.28,0.308,1
"STUB1",0.000379456497901642,0.135460933858802,0.34,0.301,1
"PPP1R10",0.000385044585102572,-0.354201822314245,0.264,0.292,1
"H2AFY",0.000399350891822536,0.152344775785498,0.29,0.255,1
"NDUFA2",0.000400692296688106,-0.208043211552119,0.417,0.445,1
"RSL1D1",0.000411208024543814,-0.200496809858483,0.447,0.477,1
"ATP1A1",0.000411973827810797,0.202924893515907,0.593,0.562,1
"UBQLN1",0.000419578213753507,0.181558180938918,0.271,0.237,1
"ACAA1",0.000450341219249059,0.189966985031859,0.253,0.221,1
"TIAL1",0.000452300219510813,-0.223452474789151,0.386,0.415,1
"TXNDC12",0.000453940708475125,0.157624573754763,0.325,0.287,1
"SAFB2",0.000455172574971093,-0.317084997394253,0.31,0.336,1
"DGUOK",0.000492704803140925,0.169430269687014,0.307,0.273,1
"MRPL43",0.000536892017678054,-0.227431402172622,0.311,0.34,1
"DDX46",0.000550208871248144,-0.245360301012328,0.348,0.373,1
"SHISA5",0.000566752150723541,-0.22541969799005,0.287,0.318,1
"MRPL52",0.000568835409396723,-0.215387015928642,0.35,0.38,1
"ZFAND6",0.000585666804759549,-0.228674131664027,0.256,0.286,1
"FAM177A1",0.000609855583487775,0.148759316387312,0.698,0.668,1
"YWHAQ",0.000639833201020834,0.14067234433913,0.556,0.523,1
"PHF1",0.000643644381089372,0.190878084444182,0.399,0.367,1
"PPP1R2",0.00064725678917373,-0.18472896975377,0.59,0.615,1
"ANKRD11",0.00065207379896261,-0.424177007653101,0.25,0.275,1
"LY6E",0.000662134314232187,0.281345326500986,0.349,0.314,1
"TSPYL2",0.000672683456944449,-0.242113222278123,0.377,0.41,1
"AAMP",0.000674021672136187,-0.223885460782051,0.338,0.369,1
"PCMT1",0.000675858518062219,-0.182604620113798,0.383,0.416,1
"GPR132",0.000676389835797346,0.204532752235418,0.276,0.246,1
"SERBP1",0.000681667788660596,-0.152357885670034,0.643,0.658,1
"POLR2L",0.000682273076644392,-0.115477997507812,0.759,0.765,1
"DSTN",0.000696438193466261,0.197306274628338,0.302,0.271,1
"TOX4",0.000743845489693223,-0.253061159902611,0.283,0.312,1
"SELT",0.000746546418552193,-0.149423450353014,0.532,0.56,1
"WAS",0.000762627717756227,-0.271233612382428,0.27,0.301,1
"ETS1",0.000832900491400493,-0.213480541332063,0.417,0.448,1
"TAPBP",0.000839278396890964,0.192352699138944,0.428,0.399,1
"ANXA11",0.000846610129569407,0.150228804584415,0.431,0.401,1
"ILK",0.000858826823800962,0.152672985703548,0.321,0.288,1
"LIMD2",0.000877236761183575,0.165571828447163,0.631,0.612,1
"NKTR",0.000886318262568139,-0.308831884765665,0.274,0.304,1
"RBM25",0.000886688218695519,-0.213160369835183,0.512,0.537,1
"PLEKHB2",0.000929345738587379,-0.274172609052157,0.272,0.3,1
"TXN",0.000949307241963709,0.220091321592376,0.552,0.531,1
"ADIPOR1",0.000979425207059502,-0.168374166960277,0.362,0.391,1
"STAT5A",0.000999519731232575,-0.246885385591608,0.416,0.44,1
"SH3GLB1",0.00100463308200869,-0.214532892857802,0.358,0.384,1
"HMGB2",0.00105196821565034,-0.112544649658164,0.436,0.47,1
"GOLGB1",0.00109923770961085,-0.303909600009839,0.284,0.311,1
"RPL22L1",0.00115891767186138,-0.159492664334321,0.407,0.439,1
"GNL1",0.00116472309358743,-0.225494397063135,0.226,0.256,1
"DERL1",0.00116893628516113,-0.196474357969485,0.313,0.341,1
