"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OXNAD1",0.0903306019710512,-0.172501570793756,0.152,0.14,1
"ZNF518A",0.0904337326446795,-0.393209720156015,0.045,0.05,1
"PAXIP1-AS1",0.0905048397952791,-0.552687826704504,0.032,0.036,1
"SPOP",0.0905649975906058,-0.292387395788902,0.222,0.222,1
"NARFL",0.0905804647287984,-0.375376101685701,0.088,0.093,1
"SH3GLB2",0.0905829702494885,-0.235675598938345,0.018,0.016,1
"BMP2K",0.0905975250121423,-0.187453726315656,0.028,0.024,1
"PROK2",0.0908820096587826,0.211783377509693,0.011,0.009,1
"NR5A2",0.0914512898791892,-0.754377819490565,0.009,0.011,1
"C1orf198",0.0914610633159342,-0.147554910805272,0.025,0.022,1
"FAM161A",0.0917994128220108,-0.201693997206649,0.016,0.013,1
"RP11-284M14.1",0.091926459299869,0.127855688871614,0.01,0.008,1
"WDR55",0.0919293712677572,-0.369831066009403,0.154,0.156,1
"CCDC94",0.0920600296467721,-0.206177972660452,0.125,0.115,1
"STX18",0.0920809685391271,-0.112925762663378,0.099,0.092,1
"FBRS",0.0921155771662522,-0.309601280196114,0.232,0.231,1
"C5orf51",0.0921825044222487,-0.300583787699557,0.12,0.125,1
"LAMTOR5",0.0922681237253266,-0.128057902307733,0.578,0.533,1
"RP11-284N8.3",0.0923084833828197,-0.64631705644138,0.025,0.028,1
"DBP",0.0927240447546552,-0.137094864749512,0.041,0.037,1
"FAM104B",0.0927378330578492,-0.224928467344647,0.05,0.054,1
"AP3B1",0.0927573780236603,-0.417580259135989,0.157,0.159,1
"PAK1IP1",0.0927628429101019,-0.128820521882011,0.094,0.087,1
"ZNF607",0.0927681258313067,-0.324473097816998,0.011,0.009,1
"RFC4",0.092847194042143,-0.3220809498353,0.073,0.078,1
"TBC1D23",0.0928496417834412,-0.196682231859822,0.125,0.115,1
"ECE2",0.0928513982675486,-0.320838246336692,0.048,0.052,1
"EXT1",0.0933690650088224,-0.553051528252012,0.008,0.01,1
"COMT",0.0935576307765887,-0.104232810987116,0.191,0.178,1
"MSL2",0.0936055280962945,-0.287464243333354,0.165,0.15,1
"PUS10",0.0936986206839611,-0.104315776914885,0.033,0.029,1
"MED23",0.0939688667895123,-0.450260657400841,0.102,0.106,1
"ZNF544",0.0940854428979152,-0.226198309998071,0.057,0.052,1
"NDUFA7",0.0942478444216122,-0.386125372819957,0.022,0.025,1
"AP5Z1",0.0947258757188381,-0.408724932788317,0.186,0.186,1
"BCR",0.0948122409942722,-0.661937516784715,0.053,0.057,1
"TMEM183A",0.0951010177783576,-0.106018911015452,0.362,0.333,1
"RP11-112J3.16",0.0951715245534332,-0.676120567105576,0.009,0.011,1
"SNX10",0.0953946201280174,-0.303251409967406,0.037,0.041,1
"PIGK",0.0957315624686,-0.319618685646163,0.046,0.05,1
"IPO7",0.0958270310821911,-0.165616929775095,0.239,0.221,1
"RBM15",0.0958346196729735,-0.128817000905311,0.119,0.111,1
"TRAV35",0.0958827002581776,-0.175666477470954,0.02,0.017,1
"AC009403.2",0.0959839005449042,-0.496663833954726,0.018,0.021,1
"C18orf25",0.0960588632363681,-0.413106002046252,0.099,0.103,1
"RAD1",0.0962090056260536,-0.180494878366931,0.098,0.09,1
"CAPN1",0.0963409911207884,-0.245597139984065,0.171,0.175,1
"UTP4",0.096715880270859,-0.180770100930404,0.136,0.126,1
"VEZF1",0.0969074432803492,-0.3417000938216,0.232,0.228,1
"LARS2",0.0969567021452525,-0.448503834497405,0.032,0.035,1
"CBR4",0.0970215355012784,-0.37180160440391,0.036,0.04,1
"CHD3",0.0972437246243561,-0.289808208106766,0.221,0.203,1
"MTHFR",0.0973587257113624,-0.689183318669317,0.024,0.027,1
"FUOM",0.0974488901115015,-0.39156343712862,0.044,0.048,1
"MCM8",0.0975074015178657,-0.142236174960877,0.021,0.018,1
"MRI1",0.0977175441935616,-0.429782688764091,0.056,0.06,1
"SLC16A3",0.0977208602993454,-0.173281501092719,0.245,0.227,1
"TIGD7",0.097952668611897,-0.653019412957235,0.011,0.013,1
"DOT1L",0.0979789395512877,-0.478807048211997,0.042,0.046,1
"ARMT1",0.0979987437223986,-0.144224512705617,0.097,0.089,1
"MLH1",0.0980243326161582,-0.140706945529756,0.086,0.08,1
"E2F3",0.0981451347065212,-0.381928732141314,0.074,0.078,1
"RFX1",0.0983667268970826,-0.293543567666394,0.096,0.087,1
"TRIM38",0.0984205005091538,-0.344005765459362,0.178,0.179,1
"TYK2",0.0988630348691803,-0.381586850663888,0.133,0.137,1
"RBM27",0.0989698227198397,-0.652194998944842,0.035,0.038,1
"ASF1A",0.0990002830500274,-0.219074062352029,0.342,0.332,1
"CSK",0.0991877011256161,-0.146157792005468,0.258,0.24,1
"CNOT6",0.0992827336086818,-0.564765468686151,0.066,0.07,1
"ANKRD36C",0.100105817485983,-0.546289217151337,0.077,0.081,1
"LINC00957",0.100338830696055,-0.401551200602317,0.013,0.016,1
"ACSL5",0.100437585575575,-0.249408990123566,0.14,0.145,1
"HILPDA",0.100488475494196,-0.680539420929602,0.029,0.033,1
"CARD6",0.100640609795458,-0.399591399977047,0.014,0.016,1
"BTBD1",0.100929959164858,-0.314589605230216,0.145,0.149,1
"CCL28",0.101111128739454,-0.452439933831702,0.015,0.017,1
"C3orf17",0.101362187529403,-0.373676036327949,0.18,0.18,1
"VPS36",0.101372088032023,-0.169929332006845,0.183,0.17,1
"R3HCC1",0.101616382921218,-0.173428801636547,0.145,0.134,1
"ZSCAN22",0.101775396239523,-0.226438258458235,0.025,0.022,1
"GPN2",0.101849005925965,-0.173846131898991,0.084,0.078,1
"KLHL9",0.101988420771306,-0.204271141655016,0.075,0.069,1
"SIMC1",0.102175506183329,-0.369273181010131,0.047,0.042,1
"MED14",0.102213510667738,-0.259433696795428,0.057,0.051,1
"ICA1",0.102224033924578,-0.265713736590487,0.037,0.041,1
"KIAA1429",0.10222631050641,-0.392016258753215,0.108,0.112,1
"RNF185",0.102469453591946,-0.434708224503941,0.061,0.065,1
"FAM65B",0.102680126923628,-0.305578199819863,0.206,0.187,1
"TIMM21",0.102873212402687,-0.361668872128432,0.083,0.088,1
"SRGAP2C",0.103016257452297,-0.119421811193603,0.034,0.03,1
"AP1AR",0.103151721901399,-0.293757375902497,0.077,0.082,1
"ZKSCAN8",0.103342303594017,-0.538155531841515,0.041,0.045,1
"ORC2",0.103384129506127,-0.227158320509109,0.093,0.086,1
"ARID5A",0.10347125165945,-0.196767679658326,0.51,0.452,1
"ITPR2",0.103521861270214,-0.415478722223958,0.102,0.106,1
"ZNF512",0.103547625797936,-0.507651246640744,0.033,0.036,1
"ALYREF",0.103561695913646,-0.459887844963357,0.048,0.043,1
"SPHK2",0.103589929968805,-0.212186641141519,0.083,0.077,1
"SLC35A3",0.104093703427524,-0.170314573078192,0.078,0.072,1
"UBALD1",0.104429629481905,-0.159029253962243,0.226,0.21,1
"AC009299.3",0.104491028985749,0.164943618802614,0.01,0.008,1
"UBE2K",0.104510111348988,-0.112387684240427,0.381,0.352,1
"RALGDS",0.104519983903684,-0.262385801486932,0.336,0.327,1
"GOLGA5",0.104609976581279,-0.168080113123665,0.104,0.096,1
"SBF2",0.104898834150972,-0.689919557418422,0.009,0.011,1
"PGLYRP2",0.105106690749588,-0.555398517487335,0.009,0.011,1
"FBXL15",0.105114608167652,-0.309884166787574,0.141,0.145,1
"RFX5",0.105469377415031,-0.350649072754472,0.097,0.102,1
"PCMT1",0.105835900419926,-0.172586514651165,0.469,0.443,1
"KCNK6",0.105840317933233,-0.230192368815539,0.092,0.085,1
"DNAJC25",0.105944653124643,-0.603798966397229,0.026,0.029,1
"TCEB1",0.105945918992812,-0.1547353446349,0.505,0.473,1
"STARD10",0.106032674663953,-0.171593410167191,0.056,0.051,1
"ZNF439",0.106153897235653,-0.168572312159784,0.01,0.008,1
"UBTD2",0.106169359475747,-0.65538145659966,0.015,0.017,1
"NDUFAF6",0.106232305398346,-0.400210045004941,0.081,0.086,1
"KIDINS220",0.106347309830347,-0.405131573823799,0.102,0.105,1
"ZNF155",0.106561200685882,-0.655527400151349,0.024,0.027,1
"KHDC1",0.106566633017456,-0.563459977862741,0.016,0.018,1
"COMMD2",0.106581696902716,-0.272671025931082,0.211,0.212,1
"TIGD1",0.106779765737262,-0.636159462004269,0.018,0.021,1
"EMG1",0.106925580302005,-0.632634062521425,0.021,0.024,1
"NSMCE1",0.107128028771071,-0.400103001095569,0.22,0.219,1
"ABCB7",0.107133904251813,-0.213866769471187,0.112,0.104,1
"SH3PXD2A",0.107211933718948,-0.222106431691492,0.035,0.032,1
"FAM20B",0.107678493674672,-0.610951625994422,0.021,0.024,1
"LLGL1",0.107919856161131,-0.240496454032246,0.057,0.052,1
"JSRP1",0.107935994673815,-0.49427847837222,0.025,0.029,1
"TBC1D14",0.108126333960435,-0.372065413508557,0.083,0.087,1
"HHLA3",0.108172515253477,-0.359161428551449,0.014,0.017,1
"FAM122B",0.108705302328844,-0.159098536460867,0.084,0.078,1
"PRKAG2-AS1",0.108810194777306,-0.16922460388399,0.022,0.019,1
"NR2C2",0.108812342680511,-0.223264048935103,0.091,0.084,1
"VANGL1",0.108814443763422,-0.288829418919589,0.028,0.031,1
"WDHD1",0.108954000730437,-0.339354915122129,0.02,0.023,1
"ENKD1",0.109058156872104,-0.156986920194778,0.014,0.012,1
"CACNA2D4",0.109246042599697,0.184841448760969,0.024,0.021,1
"SYNGAP1",0.109344859950801,-0.229706330832316,0.05,0.045,1
"PQLC1",0.109348934947146,-0.401047535523444,0.051,0.046,1
"NSUN3",0.109869284674568,-0.10974746334381,0.05,0.046,1
"DCAKD",0.109881113765422,-0.131169160004963,0.045,0.041,1
"WAPL",0.109937881482404,-0.290348820238809,0.299,0.291,1
"LRCH4",0.110045841873112,-0.44116610339122,0.089,0.093,1
"AGBL3",0.110343457266824,-0.200913390589279,0.01,0.008,1
"IMPAD1",0.110372056809929,-0.554891917588199,0.059,0.063,1
"QSOX2",0.111194920345038,-0.644770369952965,0.029,0.032,1
"PI4KA",0.111361823241819,-0.52419993403204,0.084,0.088,1
"GSS",0.111492428255901,-0.24055909741124,0.11,0.115,1
"CCR4",0.111571774694389,-0.420113516205011,0.145,0.148,1
"ZBTB8OS",0.111579920592305,-0.126079384291359,0.198,0.185,1
"PARP10",0.111744162191637,-0.315405744741166,0.155,0.158,1
"DPP3",0.111751854345081,-0.260147361532631,0.103,0.109,1
"TAF3",0.111794278460396,-0.241470832864406,0.2,0.184,1
"SP140L",0.112048360505894,-0.346957215334817,0.151,0.154,1
"GFPT2",0.112081412488642,-0.587032497867352,0.064,0.057,1
"FBXO41",0.112096299873626,-0.846863905727522,0.01,0.012,1
"RABL3",0.112134365276047,-0.355223631028891,0.031,0.034,1
"SLC25A44",0.112188936282807,-0.343618252908143,0.1,0.104,1
"CLPTM1",0.112823634753481,-0.247102398965764,0.304,0.297,1
"TUBGCP5",0.113139364216724,-0.176670000394402,0.021,0.018,1
"ZNHIT6",0.113549348986542,-0.12971132481262,0.044,0.04,1
"RANBP6",0.113792291254283,-0.182100876879252,0.061,0.056,1
"RP11-110I1.12",0.113891252695163,-0.637278206296546,0.009,0.011,1
"RELA",0.113909629050354,-0.131289302965184,0.361,0.331,1
"ZFYVE16",0.113933115117174,-0.25974272478491,0.058,0.053,1
"CDC27",0.11408474576613,-0.341894218942368,0.154,0.156,1
"HOOK3",0.114126588647526,-0.298668111711472,0.199,0.199,1
"FAM199X",0.114207973595859,-0.399292681383808,0.1,0.104,1
"MZT1",0.114280634187715,-0.119447539363229,0.278,0.258,1
"EIF2B1",0.114498852716359,-0.119907430258076,0.136,0.127,1
"METAP1",0.114536149973951,-0.284830437147622,0.13,0.134,1
"AGPAT5",0.114597300134427,-0.189250560933253,0.153,0.142,1
"ADRBK2",0.114872454260281,-0.483748428700717,0.011,0.013,1
"LRRC28",0.114911522604677,-0.58084306372726,0.058,0.062,1
"FTSJ3",0.114921094750448,-0.226529197190287,0.194,0.179,1
"HSPB11",0.115199024466364,-0.114532231606558,0.266,0.247,1
"DLGAP1-AS1",0.115207360740181,-0.202131551988233,0.081,0.075,1
"PPP2R2A",0.115226890908846,-0.215974519012981,0.277,0.255,1
"PLCXD1",0.115227896976382,-0.535961671899652,0.008,0.01,1
"SMG7",0.11529622685506,-0.359929803008369,0.135,0.139,1
"ZFP14",0.115425675107591,-0.210803199491471,0.046,0.042,1
"S1PR2",0.115432165622151,-0.624787689430892,0.011,0.013,1
"DLGAP1-AS2",0.11549905745041,-0.880179569841607,0.009,0.011,1
"C1orf54",0.115549894392682,-0.603009867736632,0.014,0.016,1
"FBXL6",0.115777983660921,-0.231683554721775,0.073,0.066,1
"ERLIN2",0.11587949692494,-0.115085118681919,0.024,0.021,1
"VWA5A",0.116343579376662,-0.49543602298979,0.019,0.021,1
"PTK2B",0.116488115171845,-0.259489241217013,0.181,0.167,1
"DIS3L2",0.116528381323229,-0.190088464397657,0.054,0.049,1
"RAB3GAP2",0.116563613684071,-0.191085067486077,0.098,0.091,1
"SLC35D1",0.116605156249078,-0.464703684966241,0.054,0.057,1
"ANKS1A",0.116921289991068,-0.509576253864648,0.02,0.023,1
"WRNIP1",0.11714865379641,-0.519025319917026,0.063,0.067,1
"C5orf45",0.117171665952696,-0.405433790524973,0.076,0.08,1
"SPTLC1",0.117211184986312,-0.308118290689416,0.151,0.154,1
"MAPKAPK5",0.117405378427905,-0.193809810708241,0.153,0.142,1
"CEP135",0.117588997798253,-0.354617774506149,0.087,0.091,1
"RP11-553L6.2",0.11771910793637,-0.555391119022829,0.024,0.027,1
"KIF9-AS1",0.11788372123636,-0.235118004245699,0.012,0.01,1
"ATG12",0.117891491377361,-0.233487230183218,0.347,0.334,1
"KIAA1919",0.117911411197649,-0.188366149471964,0.027,0.024,1
"TMEM62",0.118071766549292,-0.478584463935535,0.044,0.048,1
"FXR2",0.118130613892222,-0.522965566558785,0.053,0.057,1
"TLK2",0.118148638839734,-0.522365556445965,0.06,0.064,1
"DPP9",0.118194882027338,-0.162505015833178,0.171,0.16,1
"FUCA1",0.118195489859688,-0.474320823827376,0.061,0.064,1
"PPP1R3B",0.118327760189764,-0.208007469555099,0.027,0.023,1
"DNAL1",0.118534472613906,-0.218085902410569,0.026,0.023,1
"VARS",0.118541747421412,-0.403998806151844,0.035,0.039,1
"SMC6",0.118573806303253,-0.128336807582932,0.098,0.091,1
"EXT2",0.118651934118219,-0.142073616806037,0.08,0.074,1
"LRIG1",0.118652202588816,-0.305425579830858,0.145,0.132,1
"TBC1D25",0.118662094109405,-0.153649234593105,0.102,0.094,1
"SGSM2",0.11964812425012,-0.725405768306286,0.034,0.037,1
"MIIP",0.119883968914127,-0.294324012543863,0.154,0.157,1
"EP400NL",0.119909870917287,-0.160449358269935,0.038,0.034,1
"AC109826.1",0.12015005132792,-0.681857404186227,0.012,0.014,1
"XXbac-BPG32J3.22",0.12023188707242,-0.515269356320557,0.06,0.064,1
"DCLRE1C",0.120233604227693,-0.332875365572433,0.064,0.068,1
"RPS6KA4",0.120506691264257,-0.320594169449298,0.079,0.083,1
"GTSF1",0.120528722005616,0.166768395167701,0.025,0.022,1
"POLE",0.120536389144626,-0.181907850549815,0.047,0.042,1
"PPIL3",0.120561039928972,-0.248458755692196,0.099,0.104,1
"SLC25A42",0.12066313565313,-0.675216791030874,0.017,0.019,1
"ZNF583",0.120758061843428,-0.261890220769161,0.038,0.034,1
"SLC17A9",0.120816255869839,-0.200430880131751,0.01,0.009,1
"GNPDA1",0.121061771476706,-0.373228277036136,0.064,0.068,1
"SMC2",0.12110795107491,-0.119061117935086,0.112,0.104,1
"ZNF682",0.121139732413359,-0.255329311338198,0.02,0.017,1
"CFDP1",0.121213247766758,-0.142822363570293,0.26,0.243,1
"ANLN",0.121707060528528,0.133096586823797,0.016,0.014,1
"ARNTL2",0.121819786281537,0.145818066237605,0.013,0.011,1
"CEBPZ",0.121820710387699,-0.173528335444055,0.429,0.389,1
"FBXO25",0.122049491458091,-0.263048488807994,0.081,0.074,1
"MAP3K10",0.122088921830983,-0.753940409628092,0.014,0.016,1
"NLK",0.122225024333303,-0.610552594201756,0.017,0.02,1
"NSMF",0.12247520489577,-0.306582667734443,0.024,0.021,1
"TBC1D13",0.122729449213096,-0.176204926469282,0.056,0.051,1
"LCOR",0.122839708214802,-0.491003071514288,0.102,0.105,1
"RIF1",0.123219628966917,-0.394600514088117,0.194,0.193,1
"POLG",0.123252503365498,-0.312494370513969,0.219,0.218,1
"CYB561D2",0.123305724578377,-0.232116879144239,0.154,0.142,1
"YIPF6",0.123314553160341,-0.157432288800447,0.173,0.162,1
"GFM1",0.123352031986045,-0.380400672157597,0.127,0.13,1
"ZNF76",0.123366695722682,-0.174333292551025,0.059,0.054,1
"SLFN13",0.123437524825625,-0.103210821473533,0.012,0.01,1
"MTF2",0.123475551464713,-0.326308590262266,0.21,0.21,1
"METTL14",0.123508430037004,-0.302951726561224,0.1,0.105,1
"C10orf2",0.123826615558891,-0.680828279861245,0.014,0.016,1
"TMEM19",0.124058540423633,-0.506610718043927,0.064,0.068,1
